nota1,nota2,nota3,nota4,sentimento
5.1,3.5,1.4,0.2,positivo
4.9,3.0,1.4,0.2,positivo
4.7,3.2,1.3,0.2,positivo
4.6,3.1,1.5,0.2,positivo
5.0,3.6,1.4,0.2,positivo
5.4,3.9,1.7,0.4,positivo
4.6,3.4,1.4,0.3,positivo
5.0,3.4,1.5,0.2,positivo
4.4,2.9,1.4,0.2,positivo
4.9,3.1,1.5,0.1,positivo
5.4,3.7,1.5,0.2,positivo
4.8,3.4,1.6,0.2,positivo
4.8,3.0,1.4,0.1,positivo
4.3,3.0,1.1,0.1,positivo
5.8,4.0,1.2,0.2,positivo
5.7,4.4,1.5,0.4,positivo
5.4,3.9,1.3,0.4,positivo
5.1,3.5,1.4,0.3,positivo
5.7,3.8,1.7,0.3,positivo
5.1,3.8,1.5,0.3,positivo
5.4,3.4,1.7,0.2,positivo
5.1,3.7,1.5,0.4,positivo
4.6,3.6,1.0,0.2,positivo
5.1,3.3,1.7,0.5,positivo
4.8,3.4,1.9,0.2,positivo
5.0,3.0,1.6,0.2,positivo
5.0,3.4,1.6,0.4,positivo
5.2,3.5,1.5,0.2,positivo
5.2,3.4,1.4,0.2,positivo
4.7,3.2,1.6,0.2,positivo
4.8,3.1,1.6,0.2,positivo
5.4,3.4,1.5,0.4,positivo
5.2,4.1,1.5,0.1,positivo
5.5,4.2,1.4,0.2,positivo
4.9,3.1,1.5,0.1,positivo
5.0,3.2,1.2,0.2,positivo
5.5,3.5,1.3,0.2,positivo
4.9,3.1,1.5,0.1,positivo
4.4,3.0,1.3,0.2,positivo
5.1,3.4,1.5,0.2,positivo
5.0,3.5,1.3,0.3,positivo
4.5,2.3,1.3,0.3,positivo
4.4,3.2,1.3,0.2,positivo
5.0,3.5,1.6,0.6,positivo
5.1,3.8,1.9,0.4,positivo
4.8,3.0,1.4,0.3,positivo
5.1,3.8,1.6,0.2,positivo
4.6,3.2,1.4,0.2,positivo
5.3,3.7,1.5,0.2,positivo
5.0,3.3,1.4,0.2,positivo
7.0,3.2,4.7,1.4,negativo
6.4,3.2,4.5,1.5,negativo
6.9,3.1,4.9,1.5,negativo
5.5,2.3,4.0,1.3,negativo
6.5,2.8,4.6,1.5,negativo
5.7,2.8,4.5,1.3,negativo
6.3,3.3,4.7,1.6,negativo
4.9,2.4,3.3,1.0,negativo
6.6,2.9,4.6,1.3,negativo
5.2,2.7,3.9,1.4,negativo
5.0,2.0,3.5,1.0,negativo
5.9,3.0,4.2,1.5,negativo
6.0,2.2,4.0,1.0,negativo
6.1,2.9,4.7,1.4,negativo
5.6,2.9,3.6,1.3,negativo
6.7,3.1,4.4,1.4,negativo
5.6,3.0,4.5,1.5,negativo
5.8,2.7,4.1,1.0,negativo
6.2,2.2,4.5,1.5,negativo
5.6,2.5,3.9,1.1,negativo
5.9,3.2,4.8,1.8,negativo
6.1,2.8,4.0,1.3,negativo
6.3,2.5,4.9,1.5,negativo
6.1,2.8,4.7,1.2,negativo
6.4,2.9,4.3,1.3,negativo
6.6,3.0,4.4,1.4,negativo
